NAME_1,NAME_2,DESC_OCC,RACE,STATE_DATE,END_DATE,BOS_START_DATE,BOS_END_DATE,TYPE,ACTION,START_LOC,END_LOC,LAT,LONG,ORIG_ADDRESS,RECORDS,DIGS,IIIF,HAD,SOURCE,LD,OTHER_REPO,NOTES,LAYER,TITLE_1,URL_1,TITLE_2,URL_2,TITLE_3,URL_3
Griffen,William,,Black,,,,,Person,lived,,1850,42.360223,-71.069049,66 Southac St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Grimes,Leonard Andrew,pastor,Black,1815-00-00,1873-00-00,1848-00-00,1873-00-00,Person,was pastor,1848,1873,42.3604427,-71.0681428,,,,,,"Wikipedia.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q16065464,,,"Boston, 1780-1880",,,,,,
Hall,Primus,,Black,1746-00-00,1842-00-00,,,Person,lived,1795,1842,42.36018,-71.06964,,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q16230347,,Source says he moved here in the late 1790s,"Boston, 1780-1880",,,,,,
Hayden,Lewis,clothing,Black,1811-00-00,1889-00-00,1846-00-00,1889-00-00,Person,lived,1850,1889,42.360223,-71.069049,66 Southac St,990038814800203941; 990006020060203941,,,https://hollisarchives.lib.harvard.edu/repositories/24/archival_objects/494654,"Wikipedia.. Boston African American National Historic Site.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q6536673,,,"Boston, 1780-1880","Grand lodge jurisdictional claims, or, war of the races",https://id.lib.harvard.edu/alma/990038814800203941/catalog,"Wendell phillips papers, 1555-1882, (bulk) 1833-1881",https://id.lib.harvard.edu/alma/990006020060203941/catalog,,
Hayden,Lewis,clothing,Black,1811-00-00,1889-00-00,1846-00-00,1889-00-00,Person,worked,,1858,,,121 Cambridge St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q6536673,,,"Boston, 1780-1880",,,,,,
Hayden,Harriet,,Black,,,,1893-00-00,Person,lived,1850,1889,42.360223,-71.069049,66 Southac St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Henry,John,mariner,Black,,,,,Person,lived,1837,1865,42.36049,-71.06505,,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Henry,William,,Black,,1834-00-00,,1834-00-00,Person,lived,1804,1834,,,2 Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Henry,Susannah E.,,Black,,,,,Person,lived,1804,,,,2 Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Hilton,John T.,,Black,1801-00-00,1864-00-00,1825-00-00,1864-00-00,Person,lived,1848,1851,42.36549,-71.06692,3 Second St,,,,,"Wikipedia.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q16065933,,,"Boston, 1780-1880",,,,,,
Hilton,John T.,,Black,1801-00-00,1864-00-00,1825-00-00,1864-00-00,Person,lived,,1830,42.36069,-71.06506,12 Belknap St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q16065933,,,"Boston, 1780-1880",,,,,,
Holmes,George B.,hairdresser and musician,Black,,1830-00-00,,1830-00-00,Person,lived,1826,1830,42.36069,-71.06506,12 Belknap St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Holmes,Hosea,,Black,,,,,Person,lived,1826,1831,42.36069,-71.06506,12 Belknap St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Jackson,Henry,,Black,,,1856-07-18,1856-07-18,Person,found refuge,,1856,42.36011,-71.06538,3 Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,In Boston as a fugitive escaping from enslavement.,"Boston, 1780-1880",,,,,,
Johnson,Robert,,Black,,1880-00-00,,1880-00-00,Person,lived,1853,1880,42.36057,-71.06505,16 Belknap,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Johnson,Robert,,Black,,1880-00-00,,1880-00-00,Person,lived,1836,1850,42.36024,-71.06515,27 Belknap,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Johnson,Phillip,laborer,Black,,,,,Person,lived,1813,1827,,,7 Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Johnson,Jane,,Black,1814-00-00,1872-00-00,1856-00-00,1872-00-00,Person,lived,1856,1857,42.36007,-71.06922,1 Southac Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q16065540,,,"Boston, 1780-1880",,,,,,
Johnson (née Bell),Evelina,,Black,,1891-00-00,186U-00-00,1891-00-00,Person,lived,1866,1891,42.36057,-71.06505,16 Belknap,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Johnson (née West),Clarissa,,Black,,1863-00-00,,1863-00-00,Person,lived,1836,1850,42.36024,-71.06515,27 Belknap,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Johnson (née West),Clarissa,,Black,,1863-00-00,,1863-00-00,Person,lived,1853,1863,42.36057,-71.06505,16 Belknap,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
LeRoy,Robert,,Black,,,1860-02-22,1860-02-26,Person,found refuge,,1860,42.36011,-71.06538,3 Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,In Boston as a fugitive escaping from enslavement.,"Boston, 1780-1880",,,,,,
Lewis,Mary Edmonia,,Black,1840-00-00,1907-00-00,1863-00-00,1865-00-00,Person,worked,,1863,42.356828,-71.061519,,990061576420203941;,,,,"Lorraine Elena Roses, Black Bostonians and the Politics of Culture, 1920-1940. University of Massachusetts Press, 2017.. ",Q512065,,"Worked in the ""Old Studio Building""; did ""Old Arrow Maker""; ""Hygeia"" in Mt Auburn.","Boston, 1780-1880","Frederick hill meserve's historical portraits, ca. 1850-1915",https://id.lib.harvard.edu/alma/990061576420203941/catalog,,,,
Manix,William T.,,Black,,,,,Person,worked,1855,1859,42.36036,-71.06963,81-83 Southac St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Marrant,John ,,Black,1755-00-00,1791-00-00,1781-00-00,1789-00-00,Person,spoke,1784,1789,42.357707,-71.056215,,990023022880203941; 990019093980203941;,,,,"Wikipedia.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q6246811,,"Delivered ""Sermon to the African Lodge"" in 1789 at the African Lodge of the Honorable Society of Free and Accepted Masons in Boston","Boston, 1780-1880",Sermon preached on the 24th day of june 1789,https://id.lib.harvard.edu/alma/990023022880203941/catalog,Narrative of the life of john marrant,https://id.lib.harvard.edu/alma/990019093980203941/catalog,,
Middleton,George,,Black,1735-00-00,1815-00-00,,1815-00-00,Person,lived,1786,1815,42.35889,-71.06529,5 Pinckney St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q5542456,,,"Boston, 1780-1880",,,,,,
Nell,William Cooper,,Black,1816-00-00,1874-00-00,1816-00-00,1874-00-00,Person,lived,,1874,42.336359,-71.082461,,990006020060203941; 990067672770203941; 990018428170203941,https://iiif.lib.harvard.edu/manifests/view/drs:27801980,,,"Wikipedia.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q8007100,,64 Kendall St according to death record: https://www.ancestrylibrary.com/imageviewer/collections/2495/images/40902_264123__0120-00309,"Boston, 1780-1880","Wendell phillips papers, 1555-1882, (bulk) 1833-1881",https://id.lib.harvard.edu/alma/990006020060203941/catalog,Triumph of equal school rights in boston,https://id.lib.harvard.edu/alma/990067672770203941/catalog,Services of colored americans,https://id.lib.harvard.edu/alma/990018428170203941/catalog
Nell,William Cooper,,Black,1816-00-00,1874-00-00,1816-00-00,1874-00-00,Person,lived,1821,1823,42.36049,-71.06505,20 Belknap,990006020060203941; 990067672770203941; 990018428170203941,https://iiif.lib.harvard.edu/manifests/view/drs:27801980,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q8007100,,,"Boston, 1780-1880","Wendell phillips papers, 1555-1882, (bulk) 1833-1881",https://id.lib.harvard.edu/alma/990006020060203941/catalog,Triumph of equal school rights in boston,https://id.lib.harvard.edu/alma/990067672770203941/catalog,Services of colored americans,https://id.lib.harvard.edu/alma/990018428170203941/catalog
Nell,William Cooper,,Black,1816-00-00,1874-00-00,1816-00-00,1874-00-00,Person,lived,1824,1825,,,27 Belknap,990006020060203941; 990067672770203941; 990018428170203941,https://iiif.lib.harvard.edu/manifests/view/drs:27801980,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q8007100,,,"Boston, 1780-1880","Wendell phillips papers, 1555-1882, (bulk) 1833-1881",https://id.lib.harvard.edu/alma/990006020060203941/catalog,Triumph of equal school rights in boston,https://id.lib.harvard.edu/alma/990067672770203941/catalog,Services of colored americans,https://id.lib.harvard.edu/alma/990018428170203941/catalog
Nell,William Cooper,,Black,1816-00-00,1874-00-00,1816-00-00,1874-00-00,Person,lived,1825,1828,42.36535,-71.06705,9 Second St,990006020060203941; 990067672770203941; 990018428170203941,https://iiif.lib.harvard.edu/manifests/view/drs:27801980,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q8007100,,,"Boston, 1780-1880","Wendell phillips papers, 1555-1882, (bulk) 1833-1881",https://id.lib.harvard.edu/alma/990006020060203941/catalog,Triumph of equal school rights in boston,https://id.lib.harvard.edu/alma/990067672770203941/catalog,Services of colored americans,https://id.lib.harvard.edu/alma/990018428170203941/catalog
Nell,William Cooper,,Black,1816-00-00,1874-00-00,1816-00-00,1874-00-00,Person,lived,1829,,,,Bridge St,990006020060203941; 990067672770203941; 990018428170203941,https://iiif.lib.harvard.edu/manifests/view/drs:27801980,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q8007100,,,"Boston, 1780-1880","Wendell phillips papers, 1555-1882, (bulk) 1833-1881",https://id.lib.harvard.edu/alma/990006020060203941/catalog,Triumph of equal school rights in boston,https://id.lib.harvard.edu/alma/990067672770203941/catalog,Services of colored americans,https://id.lib.harvard.edu/alma/990018428170203941/catalog
Nell,William Cooper,,Black,1816-00-00,1874-00-00,1816-00-00,1874-00-00,Person,lived,1850,1857,42.36011,-71.06538,3 Smith Court,990006020060203941; 990067672770203941; 990018428170203941,https://iiif.lib.harvard.edu/manifests/view/drs:27801980,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q8007100,,,"Boston, 1780-1880","Wendell phillips papers, 1555-1882, (bulk) 1833-1881",https://id.lib.harvard.edu/alma/990006020060203941/catalog,Triumph of equal school rights in boston,https://id.lib.harvard.edu/alma/990067672770203941/catalog,Services of colored americans,https://id.lib.harvard.edu/alma/990018428170203941/catalog
North,Henry,,Black,,,1857-10-00,1857-10-00,Person,found refuge,,1857,42.36011,-71.06538,3 Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,In Boston as a fugitive escaping from enslavement.,"Boston, 1780-1880",,,,,,
Parker,Samuel,,Black,,,,,Person,owned property,1815,1828,42.36011,-71.06553,5 Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Paul,Thomas,pastor,Black,,,,,Person,worked,1806,1830,42.359983,-71.065481,Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q7793060,,,"Boston, 1780-1880",,,,,,
Paul,Thomas,pastor,Black,1773-00-00,1831-00-00,1805-00-00,1831-00-00,Person,lived,1822,1831,42.35864,-71.06997,26 George St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q7793060,,,"Boston, 1780-1880",,,,,,
Perkins,Nelson,,Black,,,,,Person,lived,,1850,42.360223,-71.069049,66 Southac St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Pero,John,barber,Black,,,,,Person,lived,1822,1847,42.3604,-71.06505,22 Belknap,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Pitts,Coffin,clothing,Black,,,1812-00-00,1871-00-00,Person,lived,1835,1871,42.36049,-71.06502,18 Belknap,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Pitts,Coffin,clothing,Black,,,1812-00-00,1871-00-00,Person,lived,,1826,42.36018,-71.06942,,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Prior,Thomas,seaman,Black,,,,,Person,lived,1839,1845,,,2 Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Putnam,George,hairdresser,Black,,,,1850-00-00,Person,worked,,1832,,,211 Washington,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Putnam,George,hairdresser,Black,,,,1850-00-00,Person,worked,1832,1837,,,2 Bromfield St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Putnam,George,hairdresser,Black,,,,1850-00-00,Person,worked,1837,1847,,,14 School St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Putnam,Jane,,Black,,,,1850-00-00,Person,lived,,,42.36057,-71.06505,16 Belknap,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Raymond,John,minister,Black,,,,,Person,worked,1840,1843,42.359983,-71.065481,Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Remond,Sarah Parker,,Black,1826-00-00,1894-00-00,,,Person,,,,,,,990066324950203941; 990006020060203941,https://iiif.lib.harvard.edu/manifests/view/drs:27801977$1i,https://iiif.lib.harvard.edu/manifests/drs:27801977,,Wikipedia.. ,Q4794162,,,"Boston, 1780-1880",Negroes & anglo-africans as freedmen and soldiers,https://id.lib.harvard.edu/alma/990066324950203941/catalog,"Wendell phillips papers, 1555-1882, (bulk) 1833-1881",https://id.lib.harvard.edu/alma/990006020060203941/catalog,,
Revinason,Henry,,Black,,,,,Person,lived,1810,1818,,,2 Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Riley,William,clothes dealer,Black,,,,1849-00-00,Person,lived,1835,1849,42.36018,-71.0692,68-70 Southac St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Riley,Elizabeth,,Black,1792-00-00,1855-00-00,,1855-00-00,Person,lived,1835,1855,42.36018,-71.0692,68-70 Southac St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q62284560,,Source does not provide an exact date of her death.,"Boston, 1780-1880",,,,,,
Roberts,Benjamin,,Black,1815-00-00,1881-00-00,1815-00-00,1881-00-00,Person,lived,,1881,42.365543,-71.067029,,,,,,"Wikipedia.. Boston African American National Historic Site.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q60462564,,45 Barton st according to 1881 death record: https://www.ancestrylibrary.com/imageviewer/collections/2101/images/41262_b139292-00216,"Boston, 1780-1880",,,,,,
Roberts,Robert,,Black,1780-00-00,1860-00-00,1825-00-00,1860-00-00,Person,lived,1816,1860,42.365486,-71.067084,8 Second St,990022260510203941;,,,,"Wikipedia.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q6074715,https://d.lib.msu.edu/fa/43; https://archive.org/details/houseservantsdir00robe,8 Napier according to death records: https://www.ancestrylibrary.com/imageviewer/collections/2495/images/40902_264116__0002-00038,"Boston, 1780-1880",House servant's directory,https://id.lib.harvard.edu/alma/990022260510203941/catalog,,,,
Roberts,Robert,,Black,1780-00-00,1860-00-00,1812-00-00,1860-00-00,Person,owned property,1841,1860,42.36062,-71.06502,14 Belknap St,990022260510203941;,,,,"Wikipedia.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q6074715,https://d.lib.msu.edu/fa/43; https://archive.org/details/houseservantsdir00robe,71 Joy Street according to NPS documents: https://irma.nps.gov/DataStore/DownloadFile/455030,"Boston, 1780-1880",House servant's directory,https://id.lib.harvard.edu/alma/990022260510203941/catalog,,,,
Roberts,Robert,,Black,1780-00-00,1860-00-00,1825-00-00,1860-00-00,Person,owned property,,1860,42.36535,-71.06705,9 Second St,990022260510203941;,,,,"Wikipedia.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q6074715,https://d.lib.msu.edu/fa/43; https://archive.org/details/houseservantsdir00robe,,"Boston, 1780-1880",House servant's directory,https://id.lib.harvard.edu/alma/990022260510203941/catalog,,,,
Roberts,Benjamin,,Black,1815-00-00,1881-00-00,1815-00-00,1881-00-00,Person,lived,1847,,42.36532,-71.06252,3 Andover St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q60462564,,,"Boston, 1780-1880",,,,,,
Roby,Scipio,laborer,Black,,,,,Person,lived,,1824,42.359983,-71.065481,basement of the African Meeting House,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Rock,John Sweat,,Black,,1866-00-00,1853-00-00,1866-00-00,Person,lived,1860,1866,42.36036,-71.06963,81-83 Southac St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q6255335,,,"Boston, 1780-1880",,,,,,
Rock,Maria,,Black,,,,,Person,lived,1860,1868,42.36036,-71.06963,81-83 Southac St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Ruffin,Josephine St. Pierre ,,Black,1842-00-00,1924-00-00,1842-00-00,1924-00-00,Person,lived,,1895,42.359126,-71.070575,103 Charles St,,,,,Wikipedia.. ,Q6288450,,1895 Boston Directory,"Boston, 1780-1880",,,,,,
Ruffin,Josephine St. Pierre ,,Black,1842-00-00,1924-00-00,1842-00-00,1924-00-00,Person,lived,,1910,42.360005,-71.07094,146 Charles St,,,,,Wikipedia.. ,Q6288450,,1910 Federal census ,,,,,,,
Ruffin,Josephine St. Pierre ,,Black,1842-00-00,1924-00-00,1842-00-00,1924-00-00,Person,lived,,1920,42.340727,-71.08068,224 W. Springfield,,,,,Wikipedia.. ,Q6288450,,1920 Federal census,,,,,,,
Scarlett,Joseph,,Black,,,,,Person,owned property,1857,1898,,,7 Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Scarlett,Joseph,,Black,,,,,Person,owned property,1858,1898,,,7A Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Scarlett,Joseph,,Black,,,,,Person,owned property,1852,1878,,,2 Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Scarlett,Joseph,,Black,,,,,Person,lived,1860,1868,,,2 Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Scott,James,,Black,,,,,Person,lived,1839,1865,42.36011,-71.06538,3 Smith Court,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Skeene,Edward,laborer and seaman,Black,,,,,Person,lived,1842,1844,42.359983,-71.065481,basement of the African Meeting House,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Smith,John J.,,Black,,1906-00-00,1840-00-00,1906-00-00,Person,lived,1878,,42.35875,-71.06971,86 Pinckney St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q41451039,,,"Boston, 1780-1880",,,,,,
Smith,Georgiana,,Black,,,,,Person,lived,1878,,42.35875,-71.06971,86 Pinckney St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Smith,John J,,Black,1820-00-00,1906-00-00,184U-00-00,1906-00-00,Person,lived,,1850,42.358706,-71.069694,,,,,,Wikipedia.. Boston African American National Historic Site.. ,Q41451039,,,"Boston, 1780-1880",,,,,,
Snowden,Samuel,preacher,Black,1765-00-00,1850-10-08,1818-00-00,1850-10-08,Person,lived,1842,1850,42.36036,-71.06932,73 Southac,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q16066418,,,"Boston, 1780-1880",,,,,,
Stewart,Maria W. ,,Black,1803-00-00,1879-00-00,1826-00-00,1833-00-00,Person,lived,1829,1834,42.360792,-71.065015,8 Belknap St,,,,,"Wikipedia.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q13560246,https://archive.org/details/meditationsfromp00stew,8 Belknap Street is now 81 Joy Street,"Boston, 1780-1880",,,,,,
Stewart,James,,Black,,1829-00-00,,1829-00-00,Person,lived,1829,1834,42.360792,-71.065015,8 Belknap St,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,8 Belknap Street is now 81 Joy Street,"Boston, 1780-1880",,,,,,
